File,Serial,DN,Revoked,Validity,Expire_days,Expires,Created
"DataONEProdIntCA/certs/DataONEProdIntCA.pem",3F60465D4D7FBE353DD06CFEB23E86CAA8B35C52,"subject=DC=org,DC=dataone,CN=DataONEProductionCA",Not_Revoked,Valid,36227,2123-12-30T00:57:58.000+00:00,2024-01-23T00:57:58.000+00:00
"DataONEProdIntCA/certs/urn:node:ESS_DIVE.pem",EA5D6CC8A591052A,"subject=DC=org,DC=dataone,CN=urn:node:ESS_DIVE",Not_Revoked,Valid,859,2027-02-27T17:36:52.000+00:00,2024-02-28T17:36:52.000+00:00
"DataONEProdIntCA/certs/urn:node:SI.pem",EA5D6CC8A591052B,"subject=DC=org,DC=dataone,CN=urn:node:SI",Not_Revoked,Valid,916,2027-04-25T16:35:48.000+00:00,2024-04-25T16:35:48.000+00:00
"DataONEProdIntCA/certs/urn:node:EDI.pem",EA5D6CC8A591052D,"subject=DC=org,DC=dataone,CN=urn:node:EDI",Not_Revoked,Valid,921,2027-04-30T15:30:45.000+00:00,2024-04-30T15:30:45.000+00:00
"DataONEProdIntCA/certs/pre_sha-256_ca/urn:node:CNUCSB1-3.pem",CF8745F5A16C6D52,"subject=DC=org,DC=dataone,CN=urn:node:CNUCSB1",Not_Revoked,Valid,550,2026-04-24T16:12:13.000+00:00,2023-04-25T16:12:13.000+00:00
"DataONEProdIntCA/certs/pre_sha-256_ca/urn:node:PPBIO-1.pem",CF8745F5A16C6D49,"subject=DC=org,DC=dataone,CN=urn:node:PPBIO",Not_Revoked,Valid,189,2025-04-28T19:32:17.000+00:00,2022-04-29T19:32:17.000+00:00
"DataONEProdIntCA/certs/pre_sha-256_ca/urn:node:FIGSHARE_CARY-1.pem",CF8745F5A16C6D4C,"subject=DC=org,DC=dataone,CN=urn:node:FIGSHARE_CARY",Not_Revoked,Valid,406,2025-12-01T19:33:52.000+00:00,2022-12-02T19:33:52.000+00:00
"DataONEProdIntCA/certs/pre_sha-256_ca/urn:node:mnORC1-3.pem",CF8745F5A16C6D47,"subject=DC=org,DC=dataone,CN=urn:node:mnORC1",Not_Revoked,Valid,168,2025-04-07T20:15:36.000+00:00,2022-04-08T20:15:36.000+00:00
"DataONEProdIntCA/certs/pre_sha-256_ca/urn:node:CNORC1-3.pem",CF8745F5A16C6D53,"subject=DC=org,DC=dataone,CN=urn:node:CNORC1",Not_Revoked,Valid,550,2026-04-24T16:14:03.000+00:00,2023-04-25T16:14:03.000+00:00
"DataONEProdIntCA/certs/pre_sha-256_ca/urn:node:ARCTIC-2.pem",CF8745F5A16C6D46,"subject=DC=org,DC=dataone,CN=urn:node:ARCTIC",Not_Revoked,Valid,132,2025-03-02T18:33:03.000+00:00,2022-03-03T18:33:03.000+00:00
"DataONEProdIntCA/certs/pre_sha-256_ca/urn:node:mnUNM1-3.pem",CF8745F5A16C6D48,"subject=DC=org,DC=dataone,CN=urn:node:mnUNM1",Not_Revoked,Valid,168,2025-04-07T20:17:10.000+00:00,2022-04-08T20:17:10.000+00:00
"DataONEProdIntCA/certs/pre_sha-256_ca/urn:node:RW-2.pem",CF8745F5A16C6D4D,"subject=DC=org,DC=dataone,CN=urn:node:RW",Not_Revoked,Valid,410,2025-12-05T18:49:45.000+00:00,2022-12-06T18:49:45.000+00:00
"DataONEProdIntCA/certs/pre_sha-256_ca/urn:node:FEMC-1.pem",CF8745F5A16C6D45,"subject=DC=org,DC=dataone,CN=urn:node:FEMC",Not_Revoked,Valid,115,2025-02-14T00:24:58.000+00:00,2022-02-15T00:24:58.000+00:00
"DataONEProdIntCA/certs/pre_sha-256_ca/urn:node:DRP-1.pem",CF8745F5A16C6D4B,"subject=DC=org,DC=dataone,CN=urn:node:DRP",Not_Revoked,Valid,279,2025-07-28T01:25:04.000+00:00,2022-07-29T01:25:04.000+00:00
"DataONEProdIntCA/certs/pre_sha-256_ca/urn:node:CA_OPC-1.pem",CF8745F5A16C6D4F,"subject=DC=org,DC=dataone,CN=urn:node:CA_OPC",Not_Revoked,Valid,449,2026-01-13T14:10:06.000+00:00,2023-01-14T14:10:06.000+00:00
"DataONEProdIntCA/certs/pre_sha-256_ca/urn:node:SFWMD.pem",CF8745F5A16C6D51,"subject=DC=org,DC=dataone,CN=urn:node:SFWMD",Not_Revoked,Valid,543,2026-04-17T17:35:53.000+00:00,2023-04-18T17:35:53.000+00:00
"DataONEProdIntCA/certs/pre_sha-256_ca/urn:node:CN-6.pem",CF8745F5A16C6D54,"subject=DC=org,DC=dataone,CN=urn:node:CN",Not_Revoked,Valid,595,2026-06-08T20:23:30.000+00:00,2023-06-09T20:23:30.000+00:00
"DataONEProdIntCA/certs/pre_sha-256_ca/urn:node:mnUCSB1-3.pem",CF8745F5A16C6D44,"subject=DC=org,DC=dataone,CN=urn:node:mnUCSB1",Not_Revoked,Valid,96,2025-01-25T18:27:47.000+00:00,2022-01-26T18:27:47.000+00:00
"DataONEProdIntCA/certs/pre_sha-256_ca/DataONEProdCA.pem",ACEE8CA3214DA198,"subject=DC=org,DC=dataone,CN=DataONEProductionCA",Not_Revoked,Valid,31889,2112-02-13T01:43:57.000+00:00,2012-03-08T01:43:57.000+00:00
"DataONEProdIntCA/certs/pre_sha-256_ca/urn:node:GOA-3.pem",CF8745F5A16C6D55,"subject=DC=org,DC=dataone,CN=urn:node:GOA",Not_Revoked,Valid,734,2026-10-25T15:19:52.000+00:00,2023-10-26T15:19:52.000+00:00
"DataONEProdIntCA/certs/pre_sha-256_ca/urn:node:SCTLD-1.pem",CF8745F5A16C6D4E,"subject=DC=org,DC=dataone,CN=urn:node:SCTLD",Not_Revoked,Valid,425,2025-12-21T00:16:51.000+00:00,2022-12-22T00:16:51.000+00:00
"DataONEProdIntCA/certs/pre_sha-256_ca/urn:node:CERP_SFWMD.pem",CF8745F5A16C6D4A,"subject=DC=org,DC=dataone,CN=urn:node:CERP_SFWMD",Not_Revoked,Valid,264,2025-07-12T15:15:40.000+00:00,2022-07-13T15:15:40.000+00:00
"DataONEProdIntCA/certs/urn:node:KNB.pem",EA5D6CC8A5910530,"subject=DC=org,DC=dataone,CN=urn:node:KNB",Not_Revoked,Valid,935,2027-05-14T19:08:08.000+00:00,2024-05-14T19:08:08.000+00:00
"DataONEProdIntCA/certs/urn:node:NMEPSCOR.pem",EA5D6CC8A5910533,"subject=DC=org,DC=dataone,CN=urn:node:NMEPSCOR",Not_Revoked,Valid,957,2027-06-05T17:56:00.000+00:00,2024-06-05T17:56:00.000+00:00
"DataONEProdIntCA/certs/cn-orc-1.dataone.org.pem",EA5D6CC8A5910535,"subject=DC=org,DC=dataone,CN=cn-orc-1.dataone.org",Not_Revoked,Valid,983,2027-07-01T17:16:02.000+00:00,2024-07-01T17:16:02.000+00:00
"DataONEProdIntCA/certs/urn:node:TFRI.pem",EA5D6CC8A5910536,"subject=DC=org,DC=dataone,CN=urn:node:TFRI",Not_Revoked,Valid,1042,2027-08-29T15:43:05.000+00:00,2024-08-29T15:43:05.000+00:00
"DataONEProdIntCA/certs/cn-ucsb-1.dataone.org.pem",EA5D6CC8A5910534,"subject=DC=org,DC=dataone,CN=cn-ucsb-1.dataone.org",Not_Revoked,Valid,983,2027-07-01T17:11:20.000+00:00,2024-07-01T17:11:20.000+00:00
"DataONEProdIntCA/certs/urn:node:PPBIO.pem",EA5D6CC8A5910531,"subject=DC=org,DC=dataone,CN=urn:node:PPBIO",Not_Revoked,Valid,941,2027-05-20T15:56:37.000+00:00,2024-05-20T15:56:37.000+00:00
"DataONEProdIntCA/certs/urn:node:PISCO.pem",EA5D6CC8A591052E,"subject=DC=org,DC=dataone,CN=urn:node:PISCO",Not_Revoked,Valid,935,2027-05-14T17:42:32.000+00:00,2024-05-14T17:42:32.000+00:00
"DataONEProdIntCA/certs/urn:node:NKN.pem",EA5D6CC8A5910532,"subject=DC=org,DC=dataone,CN=urn:node:NKN",Not_Revoked,Valid,955,2027-06-03T21:12:05.000+00:00,2024-06-03T21:12:05.000+00:00
"DataONEProdIntCA/certs/urn:node:LTER.pem",EA5D6CC8A591052C,"subject=DC=org,DC=dataone,CN=urn:node:LTER",Not_Revoked,Valid,921,2027-04-30T15:24:55.000+00:00,2024-04-30T15:24:55.000+00:00
